,CustomerId,Cluster
1171,500539069,2
1172,500542907,3
1173,500543045,0
1174,500543289,2
1175,500544348,1
1176,500545120,3
1177,500545447,3
1178,509930806,0
1179,509931247,1
1180,509948623,3
1181,509949284,0
1182,509956588,3
1183,509973146,3
1184,509977554,1
1185,509977663,0
1186,509977759,2
1187,509986264,3
1188,509991089,3
1189,509991572,3
1190,509992976,0
1191,510012757,0
1192,510013938,0
1193,510014086,3
1194,510014281,3
1195,510015979,2
1196,510017200,2
1197,510017678,2
1198,510017784,2
1199,510020260,3
1200,510020475,3
1201,510021082,3
1202,510024943,2
1203,510026689,2
1204,510029363,3
1205,510029506,0
1206,510029761,3
1207,510029773,2
1208,510039682,3
1209,510042315,0
1210,510050433,3
1211,510057819,3
1212,510063231,0
1213,510066120,2
1214,510066500,0
1215,510066731,0
1216,510068556,3
1217,510068625,3
1218,510068733,3
1219,510069118,3
1220,510071441,0
1221,510071620,3
1222,510079411,0
1223,510079613,1
1224,510079783,3
1225,510080351,2
1226,510081982,0
1227,510082378,3
1228,510082472,3
1229,510083104,3
1230,510084849,0
1231,510087710,0
1232,510087726,3
1233,510088446,0
1234,510089641,3
1235,510090438,0
1236,510091856,2
1237,510092801,2
1238,510093104,3
1239,510094222,3
1240,510094381,0
1241,510094827,3
1242,510095163,0
1243,510095402,0
1244,510095520,3
1245,510095645,0
1246,510097717,2
1247,510099928,3
1248,510100589,3
1249,510101349,2
1250,510103288,3
1251,510103307,3
1252,510103919,3
1253,510105542,0
1254,510107783,2
1255,510108397,2
1256,510108495,3
1257,510110850,3
1258,510111062,3
1259,510112515,3
1260,510115556,3
1261,510115930,1
1262,510117049,3
1263,510118796,0
1264,510119456,3
1265,510120548,0
1266,510127713,3
1267,510130088,2
1268,510130928,0
1269,510131485,3
1270,510131669,3
1271,510132476,0
1272,510133557,3
1273,510133617,3
1274,510133669,3
1275,510133975,3
