,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
80,500010092,2,4,1,4
81,500010169,3,0,3,1
82,500010825,4,2,1,2
83,500011066,3,0,3,1
84,500011765,3,0,3,3
85,500011767,3,0,3,1
86,500011807,1,3,0,3
87,500011914,3,0,3,1
88,500012012,0,1,1,4
89,500012050,1,3,1,3
90,500012266,3,0,3,1
91,500012630,1,3,0,3
92,500013121,1,3,0,3
93,500013225,4,2,1,2
94,500013252,3,0,3,1
95,500013419,0,1,1,4
96,500013654,3,0,3,1
97,500014059,4,2,1,2
98,500014233,3,0,3,1
99,500014934,0,1,3,4
100,500015361,3,0,3,1
101,500015620,0,1,1,4
102,500015631,3,0,3,1
103,500016045,0,1,1,4
104,500016206,0,1,1,4
105,500016535,2,4,1,2
106,500016840,3,0,3,1
107,500017061,3,0,3,4
108,500017253,0,1,3,4
109,500017633,0,1,1,4
110,500017732,3,0,3,3
111,500017777,4,2,1,2
112,500018710,3,0,3,3
113,500019283,3,0,3,1
114,500019305,1,3,0,3
115,500020076,2,4,1,2
116,500020205,3,0,1,1
117,500020251,2,4,1,2
118,500020489,2,4,1,2
119,500020629,4,2,1,2
120,500020655,3,0,3,1
121,500020777,1,3,0,0
122,500020778,1,3,0,3
123,500020832,1,3,0,3
124,500020962,4,2,1,2
125,500021058,3,0,3,1
126,500021082,3,0,3,1
127,500021245,3,0,3,3
128,500021358,0,1,3,4
129,500021418,3,0,3,4
130,500021424,1,3,0,3
131,500021867,1,3,4,0
132,500022353,1,3,2,0
133,500022630,1,3,1,0
134,500022689,0,1,1,4
135,500023249,3,0,3,1
136,500023541,3,0,3,1
137,500023743,2,4,1,2
138,500023855,0,1,3,4
139,500023996,0,1,3,4
140,500024295,0,1,1,4
141,500024470,2,4,1,2
142,500024552,0,1,1,4
143,500024691,0,1,3,4
144,500025479,1,3,3,3
145,500025528,0,1,3,4
146,500025810,4,2,1,2
147,500026000,3,0,3,4
148,500026385,4,2,1,2
149,500026451,1,3,2,0
150,500026480,1,3,2,3
151,500027166,1,3,0,3
152,500027204,3,0,3,1
153,500027577,1,3,2,0
154,500027640,2,4,3,2
155,500027732,4,2,1,2
156,500028539,0,1,1,4
157,500028626,0,1,3,4
158,500028813,1,3,2,0
159,500029141,3,0,3,1
160,500029632,0,1,1,4
161,500029932,2,4,1,2
162,500029943,2,4,1,2
163,500030169,4,2,1,2
164,500030207,3,0,3,1
165,500030289,2,4,1,2
166,500030352,0,1,3,4
167,500030641,3,0,3,1
168,500030817,1,3,3,3
169,500031038,3,0,3,1
170,500031540,0,1,1,4
171,500032590,1,3,0,3
172,500032720,0,1,1,4
173,500032752,3,0,3,1
174,500032856,2,4,1,2
